Charles,Kaleidoscope,Net News,Versions
16,0,0,0
4,0,2,4
6,0,4,1
4,20,6,9
4,4,7,0
2,9,6,5
19,1,9,0
9,5,0,7
1,1,5,5
9,4,15,7
0,1,8,16
1,0,16,0
10,11,5,0
0,9,0,3
5,2,0,6
8,5,3,8
0,--,3,0
11,--,2,1
0,--,5,9
1,--,--,0
7,--,--,28
4,--,--,0
10,--,--,1
5,--,--,4
3,--,--,5
3,--,--,2
4,--,--,0
6,--,--,2
22,--,--,1
2,--,--,2
10,--,--,0
0,--,--,1
4,--,--,7
4,--,--,2
3,--,--,0
2,--,--,1
0,--,--,2
11,--,--,--
1,--,--,--
4,--,--,--
5,--,--,--
2,--,--,--
0,--,--,--
2,--,--,--
6,--,--,--
2,--,--,--
1,--,--,--
5,--,--,--
